"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.97537074776742,0.808,0.021,0,"Endothelial","VWF"
0,5.27399025486584,0.77,0.028,0,"Endothelial","ANO2"
0,5.56130819283892,0.747,0.022,0,"Endothelial","PTPRB"
0,7.1764383561824,0.619,0.005,0,"Endothelial","SHANK3"
0,5.55107586727673,0.584,0.024,0,"Endothelial","FLT1"
0,4.65744350233803,0.558,0.028,0,"Endothelial","ZNF521"
0,6.07347636017223,0.509,0.015,0,"Endothelial","SNTG2"
0,5.50306722748255,0.5,0.017,0,"Endothelial","THSD7A"
0,6.85983482738889,0.485,0.005,0,"Endothelial","EGFL7"
0,5.92383110096854,0.422,0.009,0,"Endothelial","ADGRL4"
0,7.64419753368279,0.41,0.002,0,"Endothelial","NOTCH4"
0,5.0259775655455,0.413,0.013,0,"Endothelial","PALMD"
0,6.79123992569554,0.369,0.003,0,"Endothelial","CXorf36"
0,6.62520337287983,0.326,0.002,0,"Endothelial","TIE1"
0,8.63133022032947,0.323,0.001,0,"Endothelial","STC1"
7.46995636310631e-318,5.58599598199492,0.395,0.011,1.71756706656903e-313,"Endothelial","MYO5C"
9.4950545971921e-310,6.27121097467672,0.331,0.006,2.18319790353238e-305,"Endothelial","SLCO2A1"
6.2809591727398e-306,3.60854941627138,0.855,0.12,1.44418094258806e-301,"Endothelial","LDB2"
4.1822599461404e-305,5.71376722834461,0.288,0.004,9.61627029416062e-301,"Endothelial","CYYR1"
3.11218129994242e-288,4.99932318332172,0.5,0.024,7.15583846295761e-284,"Endothelial","MYRIP"
9.9930341234099e-288,6.2431238008151,0.256,0.003,2.29769833599564e-283,"Endothelial","RASIP1"
1.03155758420641e-283,5.18164126889267,0.343,0.01,2.3718603533658e-279,"Endothelial","KCNN3"
6.64754553594287e-283,3.64435575134495,0.834,0.117,1.52847014507934e-278,"Endothelial","PECAM1"
6.1943950238004e-280,5.2910280281055,0.352,0.013,1.42427724782243e-275,"Endothelial","MCF2L"
3.19517314084974e-270,4.16692033883188,0.549,0.04,7.3466616027558e-266,"Endothelial","RAPGEF4"
5.45593864126869e-266,4.58156329839151,0.384,0.016,1.25448397178691e-261,"Endothelial","PODXL"
1.0431758359591e-265,5.60488081589113,0.334,0.009,2.39857419962075e-261,"Endothelial","TLL1"
1.78964707807898e-263,3.87337295800623,0.651,0.069,4.11493552662701e-259,"Endothelial","ST6GALNAC3"
1.03900098447181e-249,4.19877433442776,0.544,0.044,2.38897496359603e-245,"Endothelial","TSHZ2"
2.47263407728346e-236,4.38033848537707,0.445,0.029,5.68532753389785e-232,"Endothelial","EMCN"
3.2161657606675e-236,5.08627487610601,0.262,0.007,7.39492993350279e-232,"Endothelial","ITGB4"
8.78527139802036e-234,5.53757481151353,0.259,0.006,2.01999745254682e-229,"Endothelial","CPNE5"
7.71103800409898e-231,6.18152741328907,0.253,0.006,1.77299896828248e-226,"Endothelial","TPO"
9.26477550114221e-229,3.4813993507829,0.453,0.035,2.13024983097763e-224,"Endothelial","PPP1R16B"
4.12981861095839e-225,4.94267111383942,0.331,0.015,9.49569193217663e-221,"Endothelial","NEURL1B"
6.25766156558157e-224,5.64758526327334,0.267,0.006,1.43882412377417e-219,"Endothelial","SEMA6A"
1.51842213598522e-221,3.9629649215197,0.547,0.049,3.49130801727081e-217,"Endothelial","RPGR"
1.5830985627068e-219,3.82124616325477,0.584,0.064,3.64001852523173e-215,"Endothelial","PLCB1"
1.11139347492298e-217,4.86728661765922,0.337,0.015,2.55542701689041e-213,"Endothelial","BMX"
5.29105027038942e-213,3.13607243898527,0.674,0.096,1.21657118867064e-208,"Endothelial","CSGALNACT1"
6.87969666971737e-213,3.15215027409394,0.802,0.163,1.58184865526812e-208,"Endothelial","ABLIM1"
5.59660185336754e-206,4.7362740357112,0.267,0.01,1.2868266641448e-201,"Endothelial","CD34"
3.27318993344627e-205,5.04715035886877,0.256,0.008,7.526045613973e-201,"Endothelial","PLVAP"
3.16211691075513e-194,5.0740413604923,0.285,0.012,7.27065541289927e-190,"Endothelial","EDN1"
7.43090356707517e-194,3.24994309706262,0.692,0.123,1.70858765717759e-189,"Endothelial","MCTP1"
4.60150402749858e-193,3.4357519017418,0.628,0.093,1.05802382104275e-188,"Endothelial","PLEKHG1"
1.82595729074251e-191,3.48143385295005,0.483,0.048,4.19842359860425e-187,"Endothelial","SULF2"
1.53828977991186e-190,2.74735035614201,0.837,0.211,3.53698969095135e-186,"Endothelial","DOCK9"
1.05083452491698e-186,3.0367898589425,0.802,0.187,2.41618382314162e-182,"Endothelial","RALGAPA2"
7.43144190099292e-186,4.33322989520163,0.262,0.013,1.7087114362953e-181,"Endothelial","TSPAN18"
3.26566515395842e-180,3.88522888710423,0.384,0.03,7.5087438884966e-176,"Endothelial","GNA14"
8.98714616305853e-178,3.70029139553453,0.541,0.073,2.06641451727205e-173,"Endothelial","ADAMTS9"
1.24758281102042e-174,2.84053304910986,0.619,0.101,2.86856715737925e-170,"Endothelial","CNTNAP3B"
1.72093661169219e-171,3.7406376748017,0.36,0.027,3.95694955126385e-167,"Endothelial","TEK"
1.86109961440315e-162,2.95775780842351,0.654,0.121,4.27922634339717e-158,"Endothelial","MTUS1"
2.93704392561236e-162,3.56231323158514,0.311,0.024,6.75314509816051e-158,"Endothelial","ADGRF5"
