"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Endothelial","BACE2","disease_vs_control",5.99248240254692e-42,-2.44363143649468,0.41,0.917,1.37785147881761e-37,"Seurat_LR_cell_level_exploratory"
"Endothelial","EGLN1","disease_vs_control",8.10942178782651e-39,-3.31830229477294,0.229,0.795,1.86459935167495e-34,"Seurat_LR_cell_level_exploratory"
"Endothelial","SNTG2","disease_vs_control",1.94551547499162e-37,-2.49924662964814,0.25,0.821,4.47332373164823e-33,"Seurat_LR_cell_level_exploratory"
"Endothelial","UBC","disease_vs_control",4.07262088006738e-37,-3.2898370796561,0.186,0.808,9.36417718953893e-33,"Seurat_LR_cell_level_exploratory"
"Endothelial","AKAP12","disease_vs_control",6.38871883890882e-33,-4.73890519207818,0.048,0.641,1.4689581226303e-28,"Seurat_LR_cell_level_exploratory"
"Endothelial","PLCB4","disease_vs_control",1.22083180398448e-32,-2.38925851488906,0.277,0.808,2.80705856690151e-28,"Seurat_LR_cell_level_exploratory"
"Endothelial","STC1","disease_vs_control",3.88874750683368e-32,-3.7858202676179,0.064,0.635,8.94139714246268e-28,"Seurat_LR_cell_level_exploratory"
"Endothelial","ST6GALNAC3","disease_vs_control",7.7507784450059e-32,-1.5509589197322,0.473,0.865,1.78213648786021e-27,"Seurat_LR_cell_level_exploratory"
"Endothelial","FN1","disease_vs_control",9.1285137330218e-32,3.65151087199527,0.654,0.058,2.0989191626337e-27,"Seurat_LR_cell_level_exploratory"
"Endothelial","EDN1","disease_vs_control",2.90231147698314e-30,5.36935590874015,0.505,0.019,6.67328477902732e-26,"Seurat_LR_cell_level_exploratory"
"Endothelial","TSHZ2","disease_vs_control",4.99560200458112e-30,-2.00689208607227,0.293,0.846,1.14863876891334e-25,"Seurat_LR_cell_level_exploratory"
"Endothelial","SYNE2","disease_vs_control",5.73671301800456e-29,-1.74510071938097,0.511,0.872,1.31904242422979e-24,"Seurat_LR_cell_level_exploratory"
"Endothelial","WSB1","disease_vs_control",7.88934471543588e-29,1.76219280765734,0.894,0.423,1.81399703042017e-24,"Seurat_LR_cell_level_exploratory"
"Endothelial","ZNF385D","disease_vs_control",1.12654532312913e-28,-2.10828698948863,0.33,0.821,2.5902656614708e-24,"Seurat_LR_cell_level_exploratory"
"Endothelial","ADAMTS9","disease_vs_control",1.82444586007531e-28,-2.04864550429307,0.314,0.814,4.19494836607116e-24,"Seurat_LR_cell_level_exploratory"
"Endothelial","MAGI1","disease_vs_control",2.66318526765115e-28,-1.07908227302762,0.766,0.981,6.1234618859103e-24,"Seurat_LR_cell_level_exploratory"
"Endothelial","PDE3A","disease_vs_control",6.57242008187788e-28,4.25434274791922,0.537,0.051,1.51119654942618e-23,"Seurat_LR_cell_level_exploratory"
"Endothelial","MCF2L","disease_vs_control",9.77802228111522e-27,-3.24228854058546,0.117,0.635,2.24826066309682e-22,"Seurat_LR_cell_level_exploratory"
"Endothelial","GALNT18","disease_vs_control",1.55438334081674e-26,-2.06139543526221,0.277,0.744,3.57399361553993e-22,"Seurat_LR_cell_level_exploratory"
