"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Lymphocyte","SYTL3","disease_vs_control",5.85365397609568e-08,-2.02354089898666,0.383,1,0.00134593065872368,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","PTP4A1","disease_vs_control",1.43027467847114e-07,-5.48660016573126,0.012,0.6,0.00328863056820869,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","FYN","disease_vs_control",2.94270421095678e-07,-1.2503763725396,0.532,1,0.00676615979225291,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","CYTIP","disease_vs_control",1.42063870195223e-06,-1.74022993415838,0.379,1,0.0326647456739876,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","MYO5B","disease_vs_control",3.32782561411175e-06,-6.23209488463118,0.004,0.5,0.0765166943452715,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","RALGAPA1","disease_vs_control",4.04476133120773e-06,-2.10123122267513,0.27,0.9,0.0930011972884594,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","HIST1H2AC","disease_vs_control",4.49835574119917e-06,-4.98181361217722,0.012,0.5,0.103430693557392,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","HSP90AB1","disease_vs_control",5.49440525605277e-06,-3.96164771958777,0.036,0.5,0.126332860052421,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","LRRC3B","disease_vs_control",1.20432384192068e-05,-9.8232959478694,0,0.3,0.276910180972822,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","PARP8","disease_vs_control",1.33956465080389e-05,-0.988065278990355,0.593,1,0.308006100159338,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","SLAMF6","disease_vs_control",1.89860624751192e-05,-2.00327204843932,0.258,0.9,0.436546534490417,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","NFYA","disease_vs_control",2.5215307671062e-05,-5.38404644377979,0.024,0.4,0.579775569280728,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","MCC","disease_vs_control",3.82435849677159e-05,-5.2252152269008,0.008,0.3,0.879334749162691,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","TBC1D15","disease_vs_control",3.88239017520538e-05,-3.04003489625563,0.085,0.6,0.892677972984973,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","USP22","disease_vs_control",5.88727979919818e-05,-3.24677361655228,0.065,0.6,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","RAP1B","disease_vs_control",6.3193611101682e-05,-1.45057326932055,0.339,0.9,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","BTG3","disease_vs_control",6.89111762280356e-05,-3.66888903944253,0.032,0.4,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","CNOT6L","disease_vs_control",7.46455562060281e-05,-1.93837317908395,0.298,0.8,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","PTPRC","disease_vs_control",0.000115973246117068,-0.636955137014783,0.718,1,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","ZZEF1","disease_vs_control",0.000132241560262256,5.26928388749815,0.351,0,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","FN1","disease_vs_control",0.000181077298856874,5.93732415448176,0.46,0,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","ARHGAP26","disease_vs_control",0.000185791812083069,-1.46459263061716,0.359,0.9,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","NAA50","disease_vs_control",0.000213934435175531,-2.77241754497553,0.089,0.6,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","RBM26","disease_vs_control",0.00022566791980227,5.26149753728099,0.367,0,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","HNRNPH1","disease_vs_control",0.000231747546047436,-1.40209451763811,0.375,0.9,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","PAFAH1B1","disease_vs_control",0.000285514380170709,2.30458871727595,0.411,0.1,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","NEK7","disease_vs_control",0.000286778627921452,-1.24569168068496,0.278,0.8,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","METTL2A","disease_vs_control",0.000294851930295147,-6.6374298203389,0.004,0.3,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","RNF145","disease_vs_control",0.00029988276095239,-1.55488991764008,0.218,0.7,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","HSP90AA1","disease_vs_control",0.000327165529860444,-2.59191035286785,0.165,0.7,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","NDUFB4","disease_vs_control",0.000401093221410953,-5.06876926555327,0.016,0.3,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","SEPT9","disease_vs_control",0.000413014168480453,5.86646428182238,0.464,0,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","IL10RA","disease_vs_control",0.000438677876107214,-1.74795940597339,0.214,0.6,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","FAM46C","disease_vs_control",0.000518416653463589,-4.28203782789214,0.028,0.4,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","TRAT1","disease_vs_control",0.000529999282943204,-3.64687951088317,0.056,0.5,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","HSPA1A","disease_vs_control",0.000535244354698935,-9.26255091798682,0,0.2,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","CCNH","disease_vs_control",0.000593380827557875,-2.68185592238123,0.093,0.5,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","DDX10","disease_vs_control",0.000629327019298498,-2.59518453589965,0.052,0.4,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","GPCPD1","disease_vs_control",0.000792260237421736,-1.75213045740422,0.286,0.8,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","ABI1","disease_vs_control",0.000880848790563224,-1.88421931351634,0.242,0.7,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","USB1","disease_vs_control",0.000890346084210709,-2.83945855785029,0.028,0.3,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","HIST1H2BB","disease_vs_control",0.000899560585388467,-6.06957632338842,0.004,0.2,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","TOPAZ1","disease_vs_control",0.0011560810352416,-9.3885102329396,0,0.2,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","TMEM182","disease_vs_control",0.0012039087592397,-4.46953987303041,0.008,0.2,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","ITPKB","disease_vs_control",0.00120812374892554,-1.43983852449038,0.242,0.7,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","ZNF692","disease_vs_control",0.00126176722772062,-4.15317234500668,0.02,0.2,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","CBLB","disease_vs_control",0.00128972125171675,-1.19672606521086,0.48,0.9,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","RUNX3","disease_vs_control",0.00129313956973949,-1.27505524677577,0.371,0.8,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","ABHD17A","disease_vs_control",0.0012940084570641,-2.21171105688662,0.113,0.5,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","HSPH1","disease_vs_control",0.00132058478172964,-4.03133785650375,0.048,0.4,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","ACO1","disease_vs_control",0.00133492196062098,-3.08651125834833,0.024,0.2,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","PPHLN1","disease_vs_control",0.00134960079040471,-1.83289806116281,0.185,0.6,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","ZFAND6","disease_vs_control",0.00137799726559284,-2.11522718379702,0.169,0.7,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","EPB41","disease_vs_control",0.00147674622264588,-1.25596177231271,0.395,0.9,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","LINC00486","disease_vs_control",0.00150326169610096,-2.7536786328922,0.069,0.4,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","HIST1H1D","disease_vs_control",0.00154757502736693,-6.03755466688225,0.004,0.2,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","CD38","disease_vs_control",0.00154907506536655,-1.86392420342149,0.044,0.3,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","PTGES3","disease_vs_control",0.00158313293887296,-2.18147124780208,0.177,0.6,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","YPEL5","disease_vs_control",0.00158837386672875,-3.65082096343801,0.028,0.3,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","PFKFB4","disease_vs_control",0.00160934817915695,-8.80601539719331,0,0.2,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","GPR18","disease_vs_control",0.0016274443167957,-7.87720585218976,0,0.2,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","KAT6A","disease_vs_control",0.0017098412541951,-1.44690478195567,0.323,0.8,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","CNTN6","disease_vs_control",0.00171652486178255,-3.91807839393538,0.008,0.2,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","DTX2","disease_vs_control",0.00183337717666624,-2.59196532341847,0.089,0.5,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","HNRNPA2B1","disease_vs_control",0.00186914687674551,-1.74349324455379,0.302,0.8,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","NR3C2","disease_vs_control",0.00189430115323788,-2.34863575208806,0.117,0.5,1,"Seurat_LR_cell_level_exploratory"
"Lymphocyte","AOAH","disease_vs_control",0.001923126288426,-1.38705041348634,0.315,0.8,1,"Seurat_LR_cell_level_exploratory"
