"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Macrophage","LRRC3B","disease_vs_control",1.48409180130716e-07,-9.71265546405079,0.003,0.75,0.00341237227874556,"Seurat_LR_cell_level_exploratory"
"Macrophage","RP11-323I15.5","disease_vs_control",3.70620136239408e-06,-6.75305068116603,0.015,0.5,0.0852166879255271,"Seurat_LR_cell_level_exploratory"
"Macrophage","CCDC148","disease_vs_control",3.89971189403969e-06,-7.71904050422861,0.005,0.5,0.0896660755796545,"Seurat_LR_cell_level_exploratory"
"Macrophage","SNTG1","disease_vs_control",1.55824831015656e-05,-6.49347121279165,0.015,0.5,0.358288033954298,"Seurat_LR_cell_level_exploratory"
"Macrophage","FAM19A5","disease_vs_control",2.05727128780419e-05,-5.93251902465187,0.011,0.5,0.473028387204817,"Seurat_LR_cell_level_exploratory"
"Macrophage","ITGAE","disease_vs_control",2.68604923678518e-05,-4.86117845806678,0.07,0.75,0.617603301014017,"Seurat_LR_cell_level_exploratory"
"Macrophage","SEMA3E","disease_vs_control",4.28174019323267e-05,-7.52907053897559,0.008,0.5,0.984500522629987,"Seurat_LR_cell_level_exploratory"
"Macrophage","CYP1B1-AS1","disease_vs_control",5.3240255185804e-05,-4.81078128961257,0.059,0.5,1,"Seurat_LR_cell_level_exploratory"
"Macrophage","CCBE1","disease_vs_control",5.35003165400678e-05,-7.99926766293477,0.004,0.5,1,"Seurat_LR_cell_level_exploratory"
"Macrophage","EPHA6","disease_vs_control",5.92443578134583e-05,-6.68232846855535,0.013,0.5,1,"Seurat_LR_cell_level_exploratory"
"Macrophage","KIAA1210","disease_vs_control",0.000111151995423187,-11.0155733717798,0.001,0.5,1,"Seurat_LR_cell_level_exploratory"
"Macrophage","CTNNA2","disease_vs_control",0.000114362948718429,-5.03323985701972,0.03,0.5,1,"Seurat_LR_cell_level_exploratory"
"Macrophage","PALM","disease_vs_control",0.00011560179148742,-8.29855360831471,0.006,0.5,1,"Seurat_LR_cell_level_exploratory"
"Macrophage","USH2A","disease_vs_control",0.000145490972163602,-7.15827094041301,0.013,0.5,1,"Seurat_LR_cell_level_exploratory"
"Macrophage","PDLIM3","disease_vs_control",0.000181448314753572,-6.77320233307191,0.008,0.5,1,"Seurat_LR_cell_level_exploratory"
"Macrophage","BMPR2","disease_vs_control",0.000224726971835271,-2.58611446455583,0.465,1,1,"Seurat_LR_cell_level_exploratory"
