"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Pericyte","CRISPLD2","disease_vs_control",2.28045479099045e-17,-3.41550398838492,0.212,0.984,5.24344970092434e-13,"Seurat_LR_cell_level_exploratory"
"Pericyte","CLSTN2","disease_vs_control",2.58619844385523e-12,-4.12615186394894,0.121,0.746,5.94644608195634e-08,"Seurat_LR_cell_level_exploratory"
"Pericyte","EGR1","disease_vs_control",2.25012094367733e-11,7.94100956890652,0.545,0,5.17370308579728e-07,"Seurat_LR_cell_level_exploratory"
"Pericyte","FN1","disease_vs_control",9.15941412044704e-11,3.24430964636538,0.909,0.159,2.10602408871439e-06,"Seurat_LR_cell_level_exploratory"
"Pericyte","NEAT1","disease_vs_control",4.814247008024e-10,-0.970834579405624,0.97,1,1.10693981455496e-05,"Seurat_LR_cell_level_exploratory"
"Pericyte","ADAMTS1","disease_vs_control",3.07474082013891e-09,-2.6144613266876,0.303,0.937,7.06975156774539e-05,"Seurat_LR_cell_level_exploratory"
"Pericyte","ELL2","disease_vs_control",3.2477784851805e-09,-2.45564328346298,0.424,0.889,7.46761707097552e-05,"Seurat_LR_cell_level_exploratory"
"Pericyte","ADAMTS4","disease_vs_control",3.48632000950456e-09,-8.00943654531941,0,0.667,8.01609559785384e-05,"Seurat_LR_cell_level_exploratory"
"Pericyte","EYA2","disease_vs_control",3.7088030904508e-09,-7.32712278325311,0,0.54,8.52765094587352e-05,"Seurat_LR_cell_level_exploratory"
"Pericyte","ARHGAP18","disease_vs_control",4.3679942944248e-09,7.53716632543729,0.394,0,0.000100433292811709,"Seurat_LR_cell_level_exploratory"
"Pericyte","DGKG","disease_vs_control",4.87031709795021e-09,-2.92961010490704,0.212,0.778,0.000111983201033169,"Seurat_LR_cell_level_exploratory"
"Pericyte","AP000769.1","disease_vs_control",5.02637286998915e-09,-5.31094117579185,0.03,0.635,0.000115571391399661,"Seurat_LR_cell_level_exploratory"
"Pericyte","LPP","disease_vs_control",6.57520997595675e-09,-0.835250560597157,0.97,1,0.000151183802977174,"Seurat_LR_cell_level_exploratory"
"Pericyte","CNTN4","disease_vs_control",1.16330170913391e-08,-7.86171482621274,0,0.556,0.00026747796198116,"Seurat_LR_cell_level_exploratory"
"Pericyte","HIPK2","disease_vs_control",2.23562363582328e-08,-2.46532336941239,0.364,0.905,0.000514036942584848,"Seurat_LR_cell_level_exploratory"
"Pericyte","MRC2","disease_vs_control",5.2876431259444e-08,7.47487296532291,0.333,0,0.0012157877839484,"Seurat_LR_cell_level_exploratory"
"Pericyte","COL21A1","disease_vs_control",7.99662848716571e-08,2.97911551940368,0.545,0.063,0.00183866478805401,"Seurat_LR_cell_level_exploratory"
"Pericyte","PDE8A","disease_vs_control",1.07852912545081e-07,-2.26034342025612,0.333,0.81,0.00247986201814905,"Seurat_LR_cell_level_exploratory"
"Pericyte","YBX3","disease_vs_control",1.31300185744942e-07,-2.37208434869267,0.242,0.873,0.00301898517083346,"Seurat_LR_cell_level_exploratory"
"Pericyte","COL8A1","disease_vs_control",1.524670846368e-07,7.5822397632455,0.424,0,0.00350567567705394,"Seurat_LR_cell_level_exploratory"
"Pericyte","ADCY3","disease_vs_control",1.60155510837661e-07,-1.94580485327528,0.424,0.937,0.00368245566069035,"Seurat_LR_cell_level_exploratory"
"Pericyte","LINC00486","disease_vs_control",2.86824738785052e-07,-4.34788447809414,0.03,0.444,0.0065949612188847,"Seurat_LR_cell_level_exploratory"
"Pericyte","CNNM2","disease_vs_control",3.1161357768832e-07,1.88997539379461,0.636,0.19,0.00716493099178754,"Seurat_LR_cell_level_exploratory"
"Pericyte","ESYT2","disease_vs_control",3.50015058600644e-07,-2.20228773794767,0.485,0.841,0.00804789624240461,"Seurat_LR_cell_level_exploratory"
"Pericyte","AKT3","disease_vs_control",4.68513548051621e-07,-0.703937765618666,0.879,0.952,0.0107725320103509,"Seurat_LR_cell_level_exploratory"
"Pericyte","PDLIM7","disease_vs_control",5.35366783447193e-07,2.83457557560104,0.545,0.063,0.0123096884518013,"Seurat_LR_cell_level_exploratory"
"Pericyte","SYNJ2","disease_vs_control",6.27438087546972e-07,4.24015242005786,0.394,0.016,0.0144266839469675,"Seurat_LR_cell_level_exploratory"
"Pericyte","RGS5","disease_vs_control",7.47516126565503e-07,4.67247053479994,0.606,0.016,0.0171876382981206,"Seurat_LR_cell_level_exploratory"
"Pericyte","ECE1","disease_vs_control",7.6983212111131e-07,-1.76528414705068,0.485,0.905,0.0177007499607123,"Seurat_LR_cell_level_exploratory"
"Pericyte","PARD3","disease_vs_control",8.66774056684078e-07,-1.14533798977101,0.606,0.857,0.019929735885337,"Seurat_LR_cell_level_exploratory"
"Pericyte","STK3","disease_vs_control",1.18650790905811e-06,-1.04272978316839,0.636,0.905,0.0272813763529731,"Seurat_LR_cell_level_exploratory"
"Pericyte","KCTD13","disease_vs_control",1.3982447854022e-06,6.63562991838053,0.273,0,0.0321498423507529,"Seurat_LR_cell_level_exploratory"
"Pericyte","NFIB","disease_vs_control",1.70937398203384e-06,-1.88975703419193,0.455,0.873,0.0393036359689041,"Seurat_LR_cell_level_exploratory"
"Pericyte","CEBPD","disease_vs_control",1.76148672806391e-06,-3.13242882447923,0.091,0.508,0.0405018643383734,"Seurat_LR_cell_level_exploratory"
"Pericyte","CDKN1A","disease_vs_control",1.81795850436745e-06,-6.08851838230118,0,0.302,0.0418003198909208,"Seurat_LR_cell_level_exploratory"
"Pericyte","AKAP6","disease_vs_control",1.84797241932629e-06,1.97655512599589,0.697,0.159,0.0424904298375695,"Seurat_LR_cell_level_exploratory"
"Pericyte","SMUG1","disease_vs_control",1.99438768432803e-06,6.05125710833876,0.182,0,0.0458569560257544,"Seurat_LR_cell_level_exploratory"
"Pericyte","CNR1","disease_vs_control",2.15310073388268e-06,-7.13792037720251,0,0.429,0.0495062451741645,"Seurat_LR_cell_level_exploratory"
"Pericyte","DIAPH2","disease_vs_control",2.1569213494625e-06,-1.29734028087603,0.606,0.873,0.0495940925881912,"Seurat_LR_cell_level_exploratory"
"Pericyte","MICAL2","disease_vs_control",2.19026913978694e-06,2.1308655133712,0.636,0.159,0.0503608583311212,"Seurat_LR_cell_level_exploratory"
"Pericyte","SMAD3","disease_vs_control",2.32969319049773e-06,-2.21536142608057,0.212,0.54,0.0535666355291142,"Seurat_LR_cell_level_exploratory"
"Pericyte","GRID1","disease_vs_control",2.65315510186491e-06,-1.76111609989094,0.182,0.54,0.0610039952571798,"Seurat_LR_cell_level_exploratory"
"Pericyte","COL25A1","disease_vs_control",2.81164756194914e-06,-6.73910896710273,0,0.333,0.0646482123918965,"Seurat_LR_cell_level_exploratory"
"Pericyte","VCAN","disease_vs_control",3.1170663807702e-06,3.78760985462137,0.515,0.048,0.0716707072930493,"Seurat_LR_cell_level_exploratory"
"Pericyte","C11orf96","disease_vs_control",4.06681266077818e-06,-3.10832479822038,0.121,0.635,0.0935082235092727,"Seurat_LR_cell_level_exploratory"
"Pericyte","MEF2C","disease_vs_control",4.90527414073426e-06,1.83521408986618,0.818,0.286,0.112786968317903,"Seurat_LR_cell_level_exploratory"
