"celltype","gene","contrast","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","method"
"Vascular Smooth Muscle","RP11-323I15.5","disease_vs_control",1.66790750985036e-87,-4.56916319155559,0.059,0.627,3.83501973739893e-83,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SYTL3","disease_vs_control",2.92592314448215e-86,-4.87775255144847,0.031,0.621,6.72757508610782e-82,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","LRRC3B","disease_vs_control",4.70079856631469e-78,-7.99781848656211,0.003,0.399,1.08085461435274e-73,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CYP1B1-AS1","disease_vs_control",9.57805285628087e-65,-5.13212497198674,0.026,0.464,2.20228169324466e-60,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SH3BP5","disease_vs_control",3.4735539929345e-52,-4.53351047859807,0.031,0.386,7.98674269595429e-48,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PDLIM3","disease_vs_control",4.33139408698382e-49,-2.06798424224351,0.354,0.712,9.9591744242019e-45,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","BACE2","disease_vs_control",3.25099564340444e-45,-2.22899386475488,0.246,0.673,7.47501428287983e-41,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CH507-528H12.1","disease_vs_control",4.32813977340818e-43,-2.67824858492714,0.179,0.621,9.95169178099744e-39,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CH507-513H4.1","disease_vs_control",8.00919059493488e-42,-2.42192088514834,0.224,0.686,1.84155319349338e-37,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ERRFI1","disease_vs_control",8.61572269886968e-41,-2.91737564923319,0.119,0.464,1.98101312015111e-36,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","NDRG1","disease_vs_control",2.2146968850383e-39,-3.76330359402126,0.05,0.373,5.09225254776856e-35,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","NR4A1","disease_vs_control",3.72628719330291e-38,-3.62256733161942,0.061,0.359,8.56785214356138e-34,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","BHLHE40","disease_vs_control",1.59718459615569e-36,-4.84114378878762,0.012,0.281,3.67240654194077e-32,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","UBC","disease_vs_control",4.351035993531e-36,-2.98102098185056,0.111,0.484,1.00043370599258e-31,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","DUSP1","disease_vs_control",4.83441412863741e-35,-2.696140077086,0.151,0.503,1.1115768405976e-30,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PTPRR","disease_vs_control",3.00426847231047e-32,-5.53292436705797,0.008,0.222,6.90771449838345e-28,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","NEXN","disease_vs_control",4.78147106986223e-32,2.20269306705645,0.707,0.157,1.09940364309342e-27,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ECE1","disease_vs_control",1.0014977437335e-30,-1.81746411326673,0.315,0.634,2.30274376216644e-26,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PAK7","disease_vs_control",1.28050205380328e-30,-4.76058146219573,0.016,0.235,2.94425837230988e-26,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","DHRS3","disease_vs_control",2.28141185098664e-30,-2.29356187257224,0.169,0.497,5.24565026897358e-26,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ELL2","disease_vs_control",4.24537404882173e-30,-1.82335727646767,0.318,0.601,9.7613885504558e-26,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SLC39A14","disease_vs_control",1.22311785848341e-27,-2.54323045201541,0.124,0.405,2.81231489201091e-23,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RP11-19N8.7","disease_vs_control",1.60170462986056e-27,-8.37681793046848,0.001,0.144,3.68279945543839e-23,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CLSTN2","disease_vs_control",1.37583874128098e-26,-4.7493461801167,0.012,0.222,3.16346601782735e-22,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","HES1","disease_vs_control",3.96933502580728e-26,-4.23377567343838,0.016,0.222,9.12669202483868e-22,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PLOD2","disease_vs_control",7.55734617062124e-25,-2.35667812112806,0.129,0.405,1.73766060501094e-20,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","TTF2","disease_vs_control",1.5741024569479e-24,-3.05129578296026,0.06,0.314,3.6193337792603e-20,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","LINC00486","disease_vs_control",3.57602917045085e-24,-2.90967157977523,0.072,0.327,8.22236387161764e-20,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","NMNAT2","disease_vs_control",4.77722967120894e-24,-5.18988166643913,0.009,0.183,1.09842841830107e-19,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","P4HA1","disease_vs_control",7.07841719941034e-24,-2.63066029966046,0.094,0.34,1.62754046666042e-19,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","DDAH1","disease_vs_control",1.18937246004765e-23,3.16284128643819,0.489,0.046,2.73472409738757e-19,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","C10orf10","disease_vs_control",3.24475170520303e-23,-3.64485731572041,0.027,0.222,7.46065759577332e-19,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","AC003092.1","disease_vs_control",5.58884878467153e-23,-7.80498689052496,0.001,0.124,1.28504400105952e-18,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RCAN2","disease_vs_control",1.68662341879119e-22,1.57847540462018,0.755,0.301,3.87805322682659e-18,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","PPP1CB","disease_vs_control",2.75613899547782e-22,-1.29611660248616,0.437,0.654,6.33719039230215e-18,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","HIST1H1E","disease_vs_control",6.77563578852594e-22,-9.58576976522398,0,0.098,1.55792193685577e-17,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","TGM2","disease_vs_control",9.80492001154811e-22,-3.03277424229006,0.05,0.261,2.25444525825526e-17,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ITGBL1","disease_vs_control",1.07396013507086e-21,1.65182885329613,0.72,0.288,2.46935653856843e-17,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","MYO5B","disease_vs_control",2.08276916540399e-21,-3.73454623484484,0.026,0.216,4.78891114201338e-17,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ATP10A","disease_vs_control",4.5402262955554e-21,1.42939141240057,0.771,0.346,1.04393423213705e-16,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SI","disease_vs_control",5.99896994282999e-21,-7.15289509722304,0.002,0.118,1.3793431589549e-16,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ANKRD37","disease_vs_control",8.88064463725808e-21,-4.22246287164387,0.015,0.17,2.04192662144475e-16,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","RP11-159L20.2","disease_vs_control",1.35604919504915e-20,-6.7133506192138,0.002,0.124,3.11796391417651e-16,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","MECOM","disease_vs_control",2.60679549704823e-20,-1.73473867273921,0.225,0.51,5.99380488636299e-16,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","GADD45B","disease_vs_control",2.86369807108541e-20,-3.40369827075473,0.032,0.235,6.58450097484669e-16,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","CP","disease_vs_control",3.36000119957017e-20,-2.99889892130456,0.044,0.261,7.72565075817169e-16,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","SLC14A1","disease_vs_control",1.80318206150518e-19,4.84402054856328,0.335,0.007,4.14605651401887e-15,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","ERO1A","disease_vs_control",4.80371392473675e-19,-2.91404377926746,0.051,0.242,1.10451794271472e-14,"Seurat_LR_cell_level_exploratory"
"Vascular Smooth Muscle","FN1","disease_vs_control",1.17187220715319e-18,0.940954585848728,0.862,0.516,2.69448576590734e-14,"Seurat_LR_cell_level_exploratory"
