"gene","donor_id","biosample_id","condition2","celltype","n_cells","mean_log_norm_expr","pct_expr"
"HDAC9","751","Symptomatic carotid plaque 1A","disease","Endothelial",47,0.405029212470101,0.191489361702128
"HDAC9","751","Symptomatic carotid plaque 1A","disease","Fibroblast",6,0.940221089113407,0.5
"HDAC9","751","Symptomatic carotid plaque 1A","disease","Lymphocyte",31,0.322005551357446,0.129032258064516
"HDAC9","751","Symptomatic carotid plaque 1A","disease","Macrophage",101,0.683511814145575,0.297029702970297
"HDAC9","751","Symptomatic carotid plaque 1A","disease","Pericyte",3,0.776199527658132,0.333333333333333
"HDAC9","751","Symptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",1842,1.30190368812512,0.554831704668838
"HDAC9","751","Symptomatic carotid plaque 1B","disease","Endothelial",50,0.389436697258005,0.2
"HDAC9","751","Symptomatic carotid plaque 1B","disease","Fibroblast",6,1.21678657759552,0.666666666666667
"HDAC9","751","Symptomatic carotid plaque 1B","disease","Lymphocyte",29,0.122421169834397,0.0689655172413793
"HDAC9","751","Symptomatic carotid plaque 1B","disease","Macrophage",102,0.537642826552921,0.225490196078431
"HDAC9","751","Symptomatic carotid plaque 1B","disease","Pericyte",4,0,0
"HDAC9","751","Symptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",1799,1.29431191506682,0.55141745414119
"HDAC9","826","Asymptomatic carotid plaque 1A","disease","Endothelial",66,0.739878499956007,0.348484848484849
"HDAC9","826","Asymptomatic carotid plaque 1A","disease","Fibroblast",156,0.602083131297322,0.282051282051282
"HDAC9","826","Asymptomatic carotid plaque 1A","disease","Lymphocyte",112,0.348708952252289,0.142857142857143
"HDAC9","826","Asymptomatic carotid plaque 1A","disease","Macrophage",492,0.651256451000242,0.315040650406504
"HDAC9","826","Asymptomatic carotid plaque 1A","disease","Pericyte",16,0.865539668674774,0.4375
"HDAC9","826","Asymptomatic carotid plaque 1A","disease","Vascular Smooth Muscle",192,0.955411332826639,0.401041666666667
"HDAC9","826","Asymptomatic carotid plaque 1B","disease","Endothelial",25,0.502786926458308,0.24
"HDAC9","826","Asymptomatic carotid plaque 1B","disease","Fibroblast",81,0.502177065204913,0.246913580246914
"HDAC9","826","Asymptomatic carotid plaque 1B","disease","Lymphocyte",76,0.187312693000896,0.0789473684210526
"HDAC9","826","Asymptomatic carotid plaque 1B","disease","Macrophage",253,0.704492033175633,0.33201581027668
"HDAC9","826","Asymptomatic carotid plaque 1B","disease","Pericyte",10,1.28952034393092,0.7
"HDAC9","826","Asymptomatic carotid plaque 1B","disease","Vascular Smooth Muscle",106,0.977261296844061,0.415094339622642
"HDAC9","C7","Control disease free carotid tissue","control","Endothelial",156,0.367080308728387,0.147435897435897
"HDAC9","C7","Control disease free carotid tissue","control","Lymphocyte",10,0.225508091337169,0.1
"HDAC9","C7","Control disease free carotid tissue","control","Macrophage",4,0,0
"HDAC9","C7","Control disease free carotid tissue","control","Pericyte",63,1.04608506020703,0.444444444444444
"HDAC9","C7","Control disease free carotid tissue","control","Unknown1",39,0.0409586580399893,0.0256410256410256
